epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.747,2.80419,3.86412,2.75139,0.00105,0.31579,0.00061,0.00011,3.47626,5.57342,3.53874,8e-05,8e-05,8e-05
2,87.1965,2.54707,3.51564,2.5518,0.00175,0.52632,0.00121,0.00031,3.14085,5.23773,3.70332,0.000176436,0.000176436,0.000176436
3,129.422,2.29496,3.31399,2.34878,0.00281,0.84211,0.00796,0.00153,2.8795,5.14379,3.64091,0.000268912,0.000268912,0.000268912
4,186.433,1.90306,2.87448,1.99172,0.00316,0.94737,0.01683,0.00314,2.72981,5.0701,3.48398,0.000357428,0.000357428,0.000357428
5,233.039,1.92392,2.72447,1.97178,0.00333,1,0.06119,0.02139,2.61134,4.75013,3.14651,0.000441984,0.000441984,0.000441984
6,279.074,1.66676,2.30128,1.75307,0.00333,1,0.07958,0.02084,2.51263,4.75006,3.02628,0.00052258,0.00052258,0.00052258
7,323.078,1.55099,2.15902,1.68657,0.00333,1,0.08236,0.04669,2.59237,4.77307,2.95489,0.000599216,0.000599216,0.000599216
8,366.487,1.61131,1.92361,1.60716,0.00316,0.94737,0.08304,0.05159,2.44648,4.73141,2.76892,0.000671892,0.000671892,0.000671892
9,411.234,1.44042,1.82617,1.52632,0.41139,0.18547,0.20128,0.10256,2.10277,4.49179,2.44727,0.000740608,0.000740608,0.000740608
10,458.467,1.3697,1.74056,1.49381,0.53503,0.15789,0.2372,0.12299,1.97887,4.3426,2.34155,0.000805364,0.000805364,0.000805364
11,504.325,1.34703,1.58658,1.47819,0.73018,0.21053,0.26983,0.13296,2.10441,4.32307,2.44025,0.00086616,0.00086616,0.00086616
12,553.022,1.45437,1.65336,1.49131,0.17908,0.10526,0.12652,0.05311,2.35818,4.4662,2.73251,0.000922996,0.000922996,0.000922996
13,597.794,1.33932,1.57568,1.43874,0.43822,0.10526,0.12305,0.05755,2.36129,4.33258,2.66881,0.000975872,0.000975872,0.000975872
14,645.72,1.28923,1.5115,1.37762,0.65358,0.21053,0.31484,0.1168,1.94638,4.05188,2.20072,0.00102479,0.00102479,0.00102479
15,697.006,1.29903,1.41176,1.36412,0.87843,0.52632,0.66082,0.34422,1.84417,3.22906,1.90841,0.00106974,0.00106974,0.00106974
16,746.284,1.44841,1.60435,1.48309,0.96884,0.52632,0.70536,0.36384,1.72187,3.01922,1.7965,0.00111074,0.00111074,0.00111074
17,790.627,1.2438,1.36106,1.35235,0.72664,0.73684,0.67124,0.30748,1.78128,2.92895,1.75309,0.00114778,0.00114778,0.00114778
18,832.75,1.37431,1.44948,1.41678,0.74935,0.78689,0.76672,0.46676,1.61748,2.52061,1.56233,0.00118085,0.00118085,0.00118085
19,876.768,1.16438,1.24161,1.31083,0.87307,0.84211,0.87603,0.55156,1.42845,2.15589,1.40129,0.00120997,0.00120997,0.00120997
20,924.756,1.22017,1.25903,1.34921,0.93444,0.94737,0.97655,0.59097,1.37273,1.92835,1.31761,0.00123512,0.00123512,0.00123512
21,967.319,1.14557,1.18443,1.23879,0.93761,0.94737,0.93164,0.58643,1.35762,1.88173,1.3298,0.001208,0.001208,0.001208
22,1013.95,1.13635,1.20981,1.28372,0.93047,0.89474,0.92667,0.56601,1.43216,1.9178,1.39709,0.0011684,0.0011684,0.0011684
23,1058.88,1.18994,1.15804,1.31245,0.88624,0.89474,0.9008,0.51117,1.5607,1.96751,1.50165,0.0011288,0.0011288,0.0011288
24,1100.7,1.13116,1.22232,1.29383,0.8173,0.89474,0.88544,0.5129,1.56697,1.87677,1.51093,0.0010892,0.0010892,0.0010892
25,1143.77,1.14338,1.12685,1.28429,0.76994,0.84211,0.87141,0.51062,1.69027,1.78963,1.56085,0.0010496,0.0010496,0.0010496
26,1188.88,1.02992,1.04296,1.19732,0.88714,0.94737,0.9432,0.5347,1.66785,1.68355,1.50925,0.00101,0.00101,0.00101
27,1232.15,1.15489,1.13135,1.30576,0.89426,0.94737,0.94692,0.57121,1.58655,1.59197,1.4375,0.0009704,0.0009704,0.0009704
28,1275.72,0.99796,1.05907,1.18011,0.88922,0.89474,0.92844,0.60352,1.45895,1.54225,1.36384,0.0009308,0.0009308,0.0009308
29,1320.21,1.09109,1.02935,1.28723,0.88928,0.89474,0.93643,0.58143,1.47705,1.55432,1.40204,0.0008912,0.0008912,0.0008912
30,1363.42,1.08399,0.99147,1.21489,0.88235,0.89474,0.93384,0.52176,1.67106,1.62147,1.53158,0.0008516,0.0008516,0.0008516
31,1407.5,1.08853,1.04608,1.22528,0.94437,0.89353,0.94241,0.55417,1.6387,1.59923,1.4944,0.000812,0.000812,0.000812
32,1454.6,1.08876,0.92171,1.23785,0.99874,1,0.995,0.59239,1.41055,1.44602,1.35594,0.0007724,0.0007724,0.0007724
33,1497.5,0.99981,0.9382,1.19253,0.99536,1,0.995,0.60075,1.46424,1.41441,1.37409,0.0007328,0.0007328,0.0007328
34,1545.42,1.0864,0.98125,1.26362,0.99858,1,0.995,0.59554,1.53844,1.4033,1.41196,0.0006932,0.0006932,0.0006932
35,1594.26,1.01654,0.94228,1.19378,0.99727,1,0.995,0.61821,1.52489,1.35482,1.40307,0.0006536,0.0006536,0.0006536
36,1643.47,1.00659,0.91177,1.19779,0.94071,1,0.9925,0.62598,1.40275,1.29587,1.32562,0.000614,0.000614,0.000614
37,1688.87,0.92252,0.83583,1.12964,0.94487,1,0.9925,0.62725,1.40466,1.27064,1.32194,0.0005744,0.0005744,0.0005744
38,1729.82,0.94531,0.92905,1.18102,1,0.99144,0.995,0.63742,1.42629,1.2336,1.31716,0.0005348,0.0005348,0.0005348
39,1775.41,0.95475,0.86859,1.1157,1,0.99803,0.995,0.62901,1.47296,1.21871,1.3363,0.0004952,0.0004952,0.0004952
40,1820.48,0.97653,0.98522,1.21162,0.99472,1,0.995,0.59049,1.51995,1.19063,1.37425,0.0004556,0.0004556,0.0004556
41,1867.71,0.86507,1.16404,1.11381,0.99256,1,0.995,0.59889,1.53286,1.18682,1.38752,0.000416,0.000416,0.000416
42,1915.48,0.80061,1.06906,1.08362,0.99413,1,0.995,0.6098,1.47713,1.17328,1.35899,0.0003764,0.0003764,0.0003764
43,1962.67,0.78717,1.01342,1.07734,0.99491,1,0.995,0.61685,1.42107,1.17316,1.3329,0.0003368,0.0003368,0.0003368
44,2008.1,0.83057,0.97929,1.06284,0.99535,1,0.995,0.62995,1.39174,1.18568,1.31977,0.0002972,0.0002972,0.0002972
45,2052.5,0.84312,1.05452,1.07696,0.99551,1,0.995,0.64876,1.37716,1.2066,1.30393,0.0002576,0.0002576,0.0002576
46,2096.29,0.7824,0.99368,1.07572,0.99598,1,0.995,0.65322,1.36651,1.21515,1.29148,0.000218,0.000218,0.000218
47,2144.09,0.74715,0.96872,1.03619,0.99625,1,0.995,0.64156,1.37284,1.21639,1.29386,0.0001784,0.0001784,0.0001784
48,2192.43,0.82491,1.0089,1.11272,0.99515,1,0.995,0.6344,1.38301,1.21643,1.29427,0.0001388,0.0001388,0.0001388
49,2242.5,0.79506,0.98019,1.1356,0.99516,1,0.995,0.63333,1.39448,1.21324,1.30123,9.92e-05,9.92e-05,9.92e-05
50,2302.6,0.73292,1.0249,1.0042,0.99499,1,0.995,0.6361,1.39784,1.20834,1.30152,5.96e-05,5.96e-05,5.96e-05
